지점,지점명,일시,기온(°C),강수량(mm),습도(%)
232,천안,2021-07-24 13:00,32,,50
232,천안,2021-07-24 14:00,33,,50
232,천안,2021-07-24 15:00,33.1,,47
232,천안,2021-07-24 16:00,32.8,,48
232,천안,2021-07-24 17:00,32.8,,51
232,천안,2021-07-24 18:00,32.5,,54
232,천안,2021-07-24 19:00,31,,60
232,천안,2021-07-24 20:00,29.5,,65
232,천안,2021-07-24 21:00,27.4,,75
232,천안,2021-07-24 22:00,25.7,,87
232,천안,2021-07-24 23:00,24.9,,91
232,천안,2021-07-25 00:00,24.7,,93
232,천안,2021-07-25 01:00,25,,91
232,천안,2021-07-25 02:00,24.1,,97
232,천안,2021-07-25 03:00,23.5,,98
232,천안,2021-07-25 04:00,23.2,,98
232,천안,2021-07-25 05:00,23.2,,95
232,천안,2021-07-25 06:00,24.3,,85
232,천안,2021-07-25 07:00,25.5,,79
232,천안,2021-07-25 08:00,27.3,,70
232,천안,2021-07-25 09:00,28.3,,64
232,천안,2021-07-25 10:00,29.4,,62
232,천안,2021-07-25 11:00,30.7,,56
232,천안,2021-07-25 12:00,31.5,,48
232,천안,2021-07-25 13:00,33.2,,46
232,천안,2021-07-25 14:00,32.9,,48
232,천안,2021-07-25 15:00,32.2,,56
232,천안,2021-07-25 16:00,31.7,,55
232,천안,2021-07-25 17:00,31.5,,56
232,천안,2021-07-25 18:00,30.9,,59
232,천안,2021-07-25 19:00,30,,64
232,천안,2021-07-25 20:00,28.5,,71
232,천안,2021-07-25 21:00,26.8,,80
232,천안,2021-07-25 22:00,26.8,,79
232,천안,2021-07-25 23:00,25.1,,89
232,천안,2021-07-26 00:00,24.5,,92
232,천안,2021-07-26 01:00,25.6,,85
232,천안,2021-07-26 02:00,25.8,,83
232,천안,2021-07-26 03:00,24.6,,88
232,천안,2021-07-26 04:00,24.7,,85
232,천안,2021-07-26 05:00,24.4,,86
232,천안,2021-07-26 06:00,24.6,,83
232,천안,2021-07-26 07:00,25.8,,77
232,천안,2021-07-26 08:00,26.9,,71
232,천안,2021-07-26 09:00,28.1,,66
232,천안,2021-07-26 10:00,29,,59
232,천안,2021-07-26 11:00,30.5,,52
232,천안,2021-07-26 12:00,31.3,,48
232,천안,2021-07-26 13:00,32.3,,45
232,천안,2021-07-26 14:00,32.4,,47
232,천안,2021-07-26 15:00,32.8,,46
232,천안,2021-07-26 16:00,33,,45
232,천안,2021-07-26 17:00,32.8,,47
232,천안,2021-07-26 18:00,32.5,,48
232,천안,2021-07-26 19:00,31.5,,54
232,천안,2021-07-26 20:00,29.5,,61
232,천안,2021-07-26 21:00,26.6,,77
232,천안,2021-07-26 22:00,25.5,,86
232,천안,2021-07-26 23:00,24.5,,92
232,천안,2021-07-27 00:00,24,,94
232,천안,2021-07-27 01:00,23.7,,98
232,천안,2021-07-27 02:00,23.1,,97
232,천안,2021-07-27 03:00,22.7,,98
232,천안,2021-07-27 04:00,22.5,,99
232,천안,2021-07-27 05:00,22.1,,99
232,천안,2021-07-27 06:00,21.9,,99
232,천안,2021-07-27 07:00,24,,90
232,천안,2021-07-27 08:00,26.6,,75
232,천안,2021-07-27 09:00,28.3,,67
232,천안,2021-07-27 10:00,29.6,,59
232,천안,2021-07-27 11:00,30.6,,56
232,천안,2021-07-27 12:00,31.4,,56
232,천안,2021-07-27 13:00,32.2,,48
232,천안,2021-07-27 14:00,33.2,,44
232,천안,2021-07-27 15:00,34.1,,41
232,천안,2021-07-27 16:00,33.7,,43
232,천안,2021-07-27 17:00,33.8,,42
232,천안,2021-07-27 18:00,33.4,,45
232,천안,2021-07-27 19:00,31.3,,56
232,천안,2021-07-27 20:00,29.1,,66
232,천안,2021-07-27 21:00,28,,70
232,천안,2021-07-27 22:00,26.4,,78
232,천안,2021-07-27 23:00,25.7,,84
232,천안,2021-07-28 00:00,24.9,,89
232,천안,2021-07-28 01:00,25,,88
232,천안,2021-07-28 02:00,24.5,,91
232,천안,2021-07-28 03:00,24.3,,94
232,천안,2021-07-28 04:00,24.5,,94
232,천안,2021-07-28 05:00,24.3,,96
232,천안,2021-07-28 06:00,23.7,,96
232,천안,2021-07-28 07:00,25.4,,87
232,천안,2021-07-28 08:00,27.7,,71
232,천안,2021-07-28 09:00,28.5,,62
232,천안,2021-07-28 10:00,29.8,,57
232,천안,2021-07-28 11:00,30.4,,54
232,천안,2021-07-28 12:00,31.8,,51
232,천안,2021-07-28 13:00,32.3,,50
232,천안,2021-07-28 14:00,32.7,,49
232,천안,2021-07-28 15:00,33.7,,47
232,천안,2021-07-28 16:00,34.2,,45
232,천안,2021-07-28 17:00,33.6,,47
232,천안,2021-07-28 18:00,33.6,,47
232,천안,2021-07-28 19:00,30.8,,63
232,천안,2021-07-28 20:00,28.7,,71
232,천안,2021-07-28 21:00,28,,75
232,천안,2021-07-28 22:00,26.6,,86
232,천안,2021-07-28 23:00,25.9,,90
232,천안,2021-07-29 00:00,25.4,,92
232,천안,2021-07-29 01:00,24.4,,97
232,천안,2021-07-29 02:00,24.3,,97
232,천안,2021-07-29 03:00,23.8,,98
232,천안,2021-07-29 04:00,23.4,,99
232,천안,2021-07-29 05:00,23.2,,99
232,천안,2021-07-29 06:00,22.7,,99
232,천안,2021-07-29 07:00,24.5,,96
232,천안,2021-07-29 08:00,26.7,,86
232,천안,2021-07-29 09:00,27.8,,78
232,천안,2021-07-29 10:00,28.9,,73
232,천안,2021-07-29 11:00,30.1,,70
232,천안,2021-07-29 12:00,31.8,,60
232,천안,2021-07-29 13:00,31.7,,59
232,천안,2021-07-29 14:00,33,,53
232,천안,2021-07-29 15:00,32.7,,51
232,천안,2021-07-29 16:00,32.3,,57
232,천안,2021-07-29 17:00,31.7,,61
232,천안,2021-07-29 18:00,30.1,,67
232,천안,2021-07-29 19:00,29.5,,67
232,천안,2021-07-29 20:00,28.5,,69
232,천안,2021-07-29 21:00,27.4,,70
232,천안,2021-07-29 22:00,26.2,,75
232,천안,2021-07-29 23:00,26,,76
232,천안,2021-07-30 00:00,25.4,,83
232,천안,2021-07-30 01:00,25.3,,86
232,천안,2021-07-30 02:00,25.3,,87
232,천안,2021-07-30 03:00,25.2,,88
232,천안,2021-07-30 04:00,24.3,,92
232,천안,2021-07-30 05:00,24.1,,94
232,천안,2021-07-30 06:00,23.9,,95
232,천안,2021-07-30 07:00,24.8,,90
232,천안,2021-07-30 08:00,26.4,,83
232,천안,2021-07-30 09:00,28,,76
232,천안,2021-07-30 10:00,29.9,,67
232,천안,2021-07-30 11:00,30.5,,64
232,천안,2021-07-30 12:00,32.3,,55
232,천안,2021-07-30 13:00,32.8,,51
232,천안,2021-07-30 14:00,33.5,,47
232,천안,2021-07-30 15:00,34.1,,40
232,천안,2021-07-30 16:00,33.7,,44
232,천안,2021-07-30 17:00,33.7,,42
232,천안,2021-07-30 18:00,32.9,,47
232,천안,2021-07-30 19:00,31.2,,55
232,천안,2021-07-30 20:00,29.2,,64
232,천안,2021-07-30 21:00,27.5,,73
232,천안,2021-07-30 22:00,26.8,,79
232,천안,2021-07-30 23:00,26.7,,82
232,천안,2021-07-31 00:00,27.3,,84
232,천안,2021-07-31 01:00,27.3,,87
232,천안,2021-07-31 02:00,26.6,0,92
232,천안,2021-07-31 03:00,26,0,95
232,천안,2021-07-31 04:00,25.8,,98
232,천안,2021-07-31 05:00,25.6,,99
232,천안,2021-07-31 06:00,25.4,,99
232,천안,2021-07-31 07:00,26.1,,96
232,천안,2021-07-31 08:00,26.7,,93
232,천안,2021-07-31 09:00,27.5,,88
232,천안,2021-07-31 10:00,29.1,,75
232,천안,2021-07-31 11:00,30.3,,66
232,천안,2021-07-31 12:00,31.3,,61
232,천안,2021-07-31 13:00,31.1,,58
232,천안,2021-07-31 14:00,32.2,,52
232,천안,2021-07-31 15:00,33.1,,51
232,천안,2021-07-31 16:00,33.7,,50
232,천안,2021-07-31 17:00,33,,52
232,천안,2021-07-31 18:00,31.1,,63
232,천안,2021-07-31 19:00,30.2,,68
232,천안,2021-07-31 20:00,28.9,,73
232,천안,2021-07-31 21:00,27.7,,76
232,천안,2021-07-31 22:00,26.6,,82
232,천안,2021-07-31 23:00,25.6,,88
232,천안,2021-08-01 00:00,24.9,,91
232,천안,2021-08-01 01:00,24.5,,94
232,천안,2021-08-01 02:00,23.7,,97
232,천안,2021-08-01 03:00,23.2,,99
232,천안,2021-08-01 04:00,23.1,,99
232,천안,2021-08-01 05:00,23.1,,99
232,천안,2021-08-01 06:00,23.5,,99
232,천안,2021-08-01 07:00,24.5,,95
232,천안,2021-08-01 08:00,26.5,,84
232,천안,2021-08-01 09:00,27.2,,83
232,천안,2021-08-01 10:00,27.5,,81
232,천안,2021-08-01 11:00,28.1,,76
232,천안,2021-08-01 12:00,28.5,,76
232,천안,2021-08-01 13:00,29.3,,75
232,천안,2021-08-01 14:00,30.2,,67
232,천안,2021-08-01 15:00,28.7,.8,80
232,천안,2021-08-01 16:00,28.5,0,78
232,천안,2021-08-01 17:00,28.4,,75
232,천안,2021-08-01 18:00,27.7,,81
232,천안,2021-08-01 19:00,27.3,0,89
232,천안,2021-08-01 20:00,24,14.8,99
232,천안,2021-08-01 21:00,24.2,2,99
232,천안,2021-08-01 22:00,24,0,99
232,천안,2021-08-01 23:00,23.8,.3,99
232,천안,2021-08-02 00:00,23.6,.3,99
232,천안,2021-08-02 01:00,23.7,,99
232,천안,2021-08-02 02:00,23.6,,99
232,천안,2021-08-02 03:00,23.4,,99
232,천안,2021-08-02 04:00,23.4,,99
232,천안,2021-08-02 05:00,23.5,,99
232,천안,2021-08-02 06:00,23.5,,99
232,천안,2021-08-02 07:00,23.8,,99
232,천안,2021-08-02 08:00,24.9,,98
232,천안,2021-08-02 09:00,25.5,,95
232,천안,2021-08-02 10:00,25.8,0,94
232,천안,2021-08-02 11:00,25.1,2,99
232,천안,2021-08-02 12:00,25.2,2.2,99
232,천안,2021-08-02 13:00,24.8,1.8,99
232,천안,2021-08-02 14:00,26.9,.7,84
232,천안,2021-08-02 15:00,27.3,,81
232,천안,2021-08-02 16:00,27.6,,78
232,천안,2021-08-02 17:00,26.9,,85
232,천안,2021-08-02 18:00,27.1,,85
232,천안,2021-08-02 19:00,26.9,,87
232,천안,2021-08-02 20:00,25.5,,98
232,천안,2021-08-02 21:00,25.4,,99
232,천안,2021-08-02 22:00,24.8,,99
232,천안,2021-08-02 23:00,24.4,,99
232,천안,2021-08-03 00:00,24.2,,99
232,천안,2021-08-03 01:00,24.5,,99
232,천안,2021-08-03 02:00,24.5,1.6,99
232,천안,2021-08-03 03:00,24.6,,99
232,천안,2021-08-03 04:00,24.2,,99
232,천안,2021-08-03 05:00,23.8,,99
232,천안,2021-08-03 06:00,23.7,,99
232,천안,2021-08-03 07:00,23.9,,99
232,천안,2021-08-03 08:00,24.5,,99
232,천안,2021-08-03 09:00,26.6,,88
232,천안,2021-08-03 10:00,27.1,,87
232,천안,2021-08-03 11:00,27.8,,83
232,천안,2021-08-03 12:00,28.8,,76
232,천안,2021-08-03 13:00,30,,70
232,천안,2021-08-03 14:00,29.8,,70
232,천안,2021-08-03 15:00,29.6,,74
232,천안,2021-08-03 16:00,30,,69
232,천안,2021-08-03 17:00,29.1,,76
232,천안,2021-08-03 18:00,28.6,,80
232,천안,2021-08-03 19:00,27.3,,87
232,천안,2021-08-03 20:00,26.5,,91
232,천안,2021-08-03 21:00,25.6,,99
232,천안,2021-08-03 22:00,25.2,,99
232,천안,2021-08-03 23:00,25.2,,99
232,천안,2021-08-04 00:00,24.6,,99
232,천안,2021-08-04 01:00,24.9,,99
232,천안,2021-08-04 02:00,24.7,,99
232,천안,2021-08-04 03:00,24.4,,99
232,천안,2021-08-04 04:00,24,,99
232,천안,2021-08-04 05:00,23.6,,99
232,천안,2021-08-04 06:00,23.3,,99
232,천안,2021-08-04 07:00,24.3,0,99
232,천안,2021-08-04 08:00,26.4,,93
232,천안,2021-08-04 09:00,27.9,,86
232,천안,2021-08-04 10:00,29.5,,62
232,천안,2021-08-04 11:00,30.4,,62
232,천안,2021-08-04 12:00,31,,59
232,천안,2021-08-04 13:00,31.5,,56
232,천안,2021-08-04 14:00,32.1,,52
232,천안,2021-08-04 15:00,31.2,,60
232,천안,2021-08-04 16:00,32.2,,57
232,천안,2021-08-04 17:00,31.6,,59
232,천안,2021-08-04 18:00,31.6,,59
232,천안,2021-08-04 19:00,29.5,,66
232,천안,2021-08-04 20:00,28.6,,63
232,천안,2021-08-04 21:00,26.8,,76
232,천안,2021-08-04 22:00,25.4,,88
232,천안,2021-08-04 23:00,24.7,,92
232,천안,2021-08-05 00:00,24.1,,96
232,천안,2021-08-05 01:00,24.1,,97
232,천안,2021-08-05 02:00,24.5,,94
232,천안,2021-08-05 03:00,24.6,,95
232,천안,2021-08-05 04:00,24.2,0,98
232,천안,2021-08-05 05:00,23.8,,99
232,천안,2021-08-05 06:00,23.2,,99
232,천안,2021-08-05 07:00,24.3,,97
232,천안,2021-08-05 08:00,26.1,,82
232,천안,2021-08-05 09:00,28.9,,68
232,천안,2021-08-05 10:00,30,,62
232,천안,2021-08-05 11:00,30.6,,60
232,천안,2021-08-05 12:00,31.3,,57
232,천안,2021-08-05 13:00,32.1,,56
232,천안,2021-08-05 14:00,33.2,,54
232,천안,2021-08-05 15:00,32.9,,54
232,천안,2021-08-05 16:00,32.1,,56
232,천안,2021-08-05 17:00,31.8,,64
232,천안,2021-08-05 18:00,30.2,,64
232,천안,2021-08-05 19:00,29.4,,72
232,천안,2021-08-05 20:00,28.7,,72
232,천안,2021-08-05 21:00,27.4,,83
232,천안,2021-08-05 22:00,27,,79
232,천안,2021-08-05 23:00,26.3,,84
232,천안,2021-08-06 00:00,25.7,,90
232,천안,2021-08-06 01:00,25.5,,91
232,천안,2021-08-06 02:00,25.2,,95
232,천안,2021-08-06 03:00,25.1,,95
232,천안,2021-08-06 04:00,24.6,,97
232,천안,2021-08-06 05:00,24.1,,98
232,천안,2021-08-06 06:00,23.5,,99
232,천안,2021-08-06 07:00,24.6,,96
232,천안,2021-08-06 08:00,26.9,,84
232,천안,2021-08-06 09:00,29.1,,76
232,천안,2021-08-06 10:00,30.2,,66
232,천안,2021-08-06 11:00,30.5,,65
232,천안,2021-08-06 12:00,31.9,,60
232,천안,2021-08-06 13:00,32.7,,57
232,천안,2021-08-06 14:00,33.5,,55
232,천안,2021-08-06 15:00,33.7,,55
232,천안,2021-08-06 16:00,29.9,,68
232,천안,2021-08-06 17:00,29.1,,61
232,천안,2021-08-06 18:00,28.5,,64
232,천안,2021-08-06 19:00,27.5,,68
232,천안,2021-08-06 20:00,24.3,,75
232,천안,2021-08-06 21:00,24.2,,75
232,천안,2021-08-06 22:00,24,,83
232,천안,2021-08-06 23:00,23.3,,88
232,천안,2021-08-07 00:00,23.5,,88
232,천안,2021-08-07 01:00,23.2,,94
232,천안,2021-08-07 02:00,22.8,,95
232,천안,2021-08-07 03:00,22.6,,95
232,천안,2021-08-07 04:00,22,,98
232,천안,2021-08-07 05:00,21.7,,99
232,천안,2021-08-07 06:00,21.6,,99
232,천안,2021-08-07 07:00,22.5,,98
232,천안,2021-08-07 08:00,24.4,,88
232,천안,2021-08-07 09:00,26.6,,75
232,천안,2021-08-07 10:00,28.6,,68
232,천안,2021-08-07 11:00,29.4,,63
232,천안,2021-08-07 12:00,30.3,,63
232,천안,2021-08-07 13:00,31.2,,61
232,천안,2021-08-07 14:00,31.7,,58
232,천안,2021-08-07 15:00,31.3,,56
232,천안,2021-08-07 16:00,30.2,,59
232,천안,2021-08-07 17:00,29.5,,63
232,천안,2021-08-07 18:00,29.4,,62
232,천안,2021-08-07 19:00,28.3,,61
232,천안,2021-08-07 20:00,26.6,,68
232,천안,2021-08-07 21:00,25.5,,74
232,천안,2021-08-07 22:00,24,,89
232,천안,2021-08-07 23:00,23.6,,92
232,천안,2021-08-08 00:00,23,,95
232,천안,2021-08-08 01:00,22.3,,99
232,천안,2021-08-08 02:00,21.9,,99
232,천안,2021-08-08 03:00,22.1,,99
232,천안,2021-08-08 04:00,22.4,,99
232,천안,2021-08-08 05:00,22.2,,99
232,천안,2021-08-08 06:00,22.5,,99
232,천안,2021-08-08 07:00,22.8,,99
232,천안,2021-08-08 08:00,24.4,,95
232,천안,2021-08-08 09:00,25.9,,89
232,천안,2021-08-08 10:00,28.1,,76
232,천안,2021-08-08 11:00,28.6,,75
232,천안,2021-08-08 12:00,29.1,,72
232,천안,2021-08-08 13:00,29.5,,72
232,천안,2021-08-08 14:00,29.3,,72
232,천안,2021-08-08 15:00,29.3,,75
232,천안,2021-08-08 16:00,28.2,,69
232,천안,2021-08-08 17:00,25.5,,81
232,천안,2021-08-08 18:00,25.8,,79
232,천안,2021-08-08 19:00,25.8,,77
232,천안,2021-08-08 20:00,24.5,0,89
232,천안,2021-08-08 21:00,24,,91
232,천안,2021-08-08 22:00,23.7,,95
232,천안,2021-08-08 23:00,23.8,,94
232,천안,2021-08-09 00:00,23,,98
232,천안,2021-08-09 01:00,22.6,,99
232,천안,2021-08-09 02:00,21.9,,99
232,천안,2021-08-09 03:00,21.2,,99
232,천안,2021-08-09 04:00,21.4,,99
232,천안,2021-08-09 05:00,21.7,,98
232,천안,2021-08-09 06:00,21.2,,98
232,천안,2021-08-09 07:00,22.6,,93
232,천안,2021-08-09 08:00,25.6,,74
232,천안,2021-08-09 09:00,27.3,,68
232,천안,2021-08-09 10:00,27.5,,67
232,천안,2021-08-09 11:00,27.9,,66
232,천안,2021-08-09 12:00,29.7,,60
232,천안,2021-08-09 13:00,30.8,,55
232,천안,2021-08-09 14:00,31.7,,51
232,천안,2021-08-09 15:00,31.6,,49
232,천안,2021-08-09 16:00,31.1,,48
232,천안,2021-08-09 17:00,30.9,,50
232,천안,2021-08-09 18:00,31.1,,49
232,천안,2021-08-09 19:00,29.7,,56
232,천안,2021-08-09 20:00,27.1,,67
232,천안,2021-08-09 21:00,26.1,,72
232,천안,2021-08-09 22:00,24.6,,85
232,천안,2021-08-09 23:00,24.6,,85
232,천안,2021-08-10 00:00,25.7,,69
232,천안,2021-08-10 01:00,24.6,,78
232,천안,2021-08-10 02:00,24.2,,78
232,천안,2021-08-10 03:00,23.9,,76
232,천안,2021-08-10 04:00,23.4,,79
232,천안,2021-08-10 05:00,22.1,,87
232,천안,2021-08-10 06:00,21.5,,91
232,천안,2021-08-10 07:00,23.3,,81
232,천안,2021-08-10 08:00,24.6,,76
232,천안,2021-08-10 09:00,23.5,3.9,89
232,천안,2021-08-10 10:00,24.3,2.2,92
232,천안,2021-08-10 11:00,27,,80
232,천안,2021-08-10 12:00,28.4,,71
232,천안,2021-08-10 13:00,29.1,,66
232,천안,2021-08-10 14:00,22.8,8,88
232,천안,2021-08-10 15:00,26.7,2.1,79
232,천안,2021-08-10 16:00,28.3,,75
232,천안,2021-08-10 17:00,28.5,,72
232,천안,2021-08-10 18:00,27.3,,77
232,천안,2021-08-10 19:00,25.5,,91
232,천안,2021-08-10 20:00,25.1,,93
232,천안,2021-08-10 21:00,24,,99
232,천안,2021-08-10 22:00,23.9,,99
232,천안,2021-08-10 23:00,23.2,,99
232,천안,2021-08-11 00:00,22.6,,99
232,천안,2021-08-11 01:00,21.9,,99
232,천안,2021-08-11 02:00,21.7,,99
232,천안,2021-08-11 03:00,21.7,,99
232,천안,2021-08-11 04:00,21.6,,99
232,천안,2021-08-11 05:00,21.2,,99
232,천안,2021-08-11 06:00,20.9,,99
232,천안,2021-08-11 07:00,21.7,,99
232,천안,2021-08-11 08:00,23.5,,99
232,천안,2021-08-11 09:00,25.3,,88
232,천안,2021-08-11 10:00,26.2,,80
232,천안,2021-08-11 11:00,28,,70
232,천안,2021-08-11 12:00,29.2,,60
232,천안,2021-08-11 13:00,29.8,,55
232,천안,2021-08-11 14:00,30.7,,53
232,천안,2021-08-11 15:00,31,,49
232,천안,2021-08-11 16:00,31.4,,52
232,천안,2021-08-11 17:00,31.2,,51
232,천안,2021-08-11 18:00,29.4,,60
232,천안,2021-08-11 19:00,27.4,,70
232,천안,2021-08-11 20:00,26,,78
232,천안,2021-08-11 21:00,24.8,,90
232,천안,2021-08-11 22:00,24,,94
232,천안,2021-08-11 23:00,23.4,,98
232,천안,2021-08-12 00:00,23.1,,99
232,천안,2021-08-12 01:00,22.9,,99
232,천안,2021-08-12 02:00,22.5,,99
232,천안,2021-08-12 03:00,22.3,,99
232,천안,2021-08-12 04:00,22.3,,99
232,천안,2021-08-12 05:00,21.8,,99
232,천안,2021-08-12 06:00,21.7,,99
232,천안,2021-08-12 07:00,22.2,,99
232,천안,2021-08-12 08:00,24.1,,92
232,천안,2021-08-12 09:00,25.8,,84
232,천안,2021-08-12 10:00,27.1,,75
232,천안,2021-08-12 11:00,28.2,,71
232,천안,2021-08-12 12:00,29.5,,66
232,천안,2021-08-12 13:00,29.6,,62
232,천안,2021-08-12 14:00,30.4,,54
232,천안,2021-08-12 15:00,29.9,,59
232,천안,2021-08-12 16:00,29.9,,62
232,천안,2021-08-12 17:00,29.8,,61
232,천안,2021-08-12 18:00,29.6,,62
232,천안,2021-08-12 19:00,28,,71
232,천안,2021-08-12 20:00,24.6,2.9,83
232,천안,2021-08-12 21:00,21.7,0,91
232,천안,2021-08-12 22:00,20.7,,99
232,천안,2021-08-12 23:00,20.9,,99
232,천안,2021-08-13 00:00,20.9,,99
232,천안,2021-08-13 01:00,20.7,,99
232,천안,2021-08-13 02:00,20.9,,99
232,천안,2021-08-13 03:00,20.9,,99
232,천안,2021-08-13 04:00,20.8,,99
232,천안,2021-08-13 05:00,20.7,,99
232,천안,2021-08-13 06:00,20.8,,99
232,천안,2021-08-13 07:00,21.3,,99
232,천안,2021-08-13 08:00,22.2,,99
232,천안,2021-08-13 09:00,24.8,,90
232,천안,2021-08-13 10:00,25.7,,80
232,천안,2021-08-13 11:00,26.2,,77
232,천안,2021-08-13 12:00,26.1,,82
232,천안,2021-08-13 13:00,26.8,,76
232,천안,2021-08-13 14:00,27.2,,70
232,천안,2021-08-13 15:00,27.4,,70
232,천안,2021-08-13 16:00,27.6,,71
232,천안,2021-08-13 17:00,27.7,,69
232,천안,2021-08-13 18:00,27.4,,73
232,천안,2021-08-13 19:00,26,,83
232,천안,2021-08-13 20:00,24.8,,91
232,천안,2021-08-13 21:00,24,,95
232,천안,2021-08-13 22:00,23.7,,98
232,천안,2021-08-13 23:00,23.2,,99
232,천안,2021-08-14 00:00,23,,99
232,천안,2021-08-14 01:00,22.7,,99
232,천안,2021-08-14 02:00,22.8,,99
232,천안,2021-08-14 03:00,22.5,,99
232,천안,2021-08-14 04:00,22.5,,99
232,천안,2021-08-14 05:00,22.3,,99
232,천안,2021-08-14 06:00,22.7,,92
232,천안,2021-08-14 07:00,22.6,,94
232,천안,2021-08-14 08:00,23.3,,88
